# E          M           C            S
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
-0.72850000  0.56875002  1.38678261  0.53917379
