# E          M           C            S
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
-1.84200000  0.95550001  0.60959517  0.11141644
