# E          M           C            S
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
-1.10700000  0.71174997  2.19002346  0.58089835
