# E          M           C            S
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
-1.99600000  0.99900001  0.03174400  0.00198364
