# E          M           C            S
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
-1.97700000  0.99425000  0.11162748  0.00874886
