# E          M           C            S
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
-0.55200000  0.43775001  0.53943749  0.40246471
