# E          M           C            S
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
-0.65000000  0.48675001  0.87543752  0.52544674
