# E          M           C            S
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
-0.88650000  0.60925001  0.76926635  0.42992437
